,0
635,LPAR3|23566
636,LPHN2|23266
637,LPPR4|9890
638,LPPR5|163404
639,LQK1|642946
640,LRP8|7804
641,LRRC39|127495
642,LRRC52|440699
643,LRRC7|57554
644,LRRC8C|84230
645,LRRIQ3|127255
646,LRRN2|10446
647,LY9|4063
648,LYST|1130
649,MAEL|84944
650,MAGI3|260425
651,MAN1C1|57134
652,MANEAL|149175
653,MAP1LC3C|440738
654,MAP3K6|9064
655,MARCKSL1|65108
656,MARK1|4139
657,MASP2|10747
658,MATN1|4146
659,MCOLN2|255231
660,MCOLN3|55283
661,MDS2|259283
662,MEGF6|1953
663,MEX3A|92312
664,MFAP2|4237
665,MFSD2A|84879
666,MFSD4|148808
667,MGC12982|84793
668,MGC27382|149047
669,MGC4473|79100
670,MIXL1|83881
671,MLLT11|10962
672,MMEL1|79258
673,MMP23A|8511
674,MMP23B|8510
675,MNDA|4332
676,MORN1|79906
677,MOSC1|64757
678,MOSC2|54996
679,MPL|4352
680,MPZ|4359
681,MSH4|4438
682,MST1P2|11209
683,MST1P9|11223
684,MTMR11|10903
685,MTMR9L|339483
686,MUC1|4582
687,MXRA8|54587
688,MYBPHL|343263
689,MYBPH|4608
690,MYCL1|4610
691,MYOC|4653
692,MYOG|4656
693,MYOM3|127294
694,MYSM1|114803
695,NAV1|89796
696,NBL1|4681
697,NBPF10|100132406
698,NBPF14|25832
699,NBPF15|284565
700,NBPF3|84224
701,NBPF4|148545
702,NBPF6|653149
703,NBPF9|400818
704,NCF2|4688
705,NEGR1|257194
706,NEK2|4751
707,NES|10763
708,NEXN|91624
709,NFASC|23114
710,NFIA|4774
711,NGF|4803
712,NHLH1|4807
713,NHLH2|4808
714,NID1|4811
715,NIPAL3|57185
716,NKAIN1|79570
717,NLRP3|114548
718,NMNAT2|23057
719,NOS1AP|9722
720,NOTCH2|4853
721,NPHS2|7827
722,NPL|80896
723,NPPA|4878
724,NPPB|4879
725,NPR1|4881
726,NR0B2|8431
727,NR1I3|9970
728,NR5A2|2494
729,NT5C1A|84618
730,NTNG1|22854
731,NTRK1|4914
732,NUAK2|81788
733,NUF2|83540
734,NUP210L|91181
735,OAZ3|51686
736,OBSCN|84033
737,OCLM|10896
738,ODF2L|57489
739,OLFM3|118427
740,OLFML2B|25903
741,OLFML3|56944
742,OPN3|23596
743,OPRD1|4985
744,OR2L13|284521
745,OR2W3|343171
746,ORC1L|4998
747,OSCP1|127700
748,OVGP1|5016
749,OXCT2|64064
750,PADI1|29943
751,PADI2|11240
752,PADI3|51702
753,PADI4|23569
754,PALMD|54873
755,PAPPA2|60676
756,PAQR6|79957
757,PAX7|5081
758,PBX1|5087
759,PCNXL2|80003
760,PCP4L1|654790
761,PCSK9|255738
762,PDE4B|5142
763,PDPN|10630
764,PDZK1IP1|10158
765,PDZK1|5174
766,PEA15|8682
767,PEAR1|375033
768,PER3|8863
769,PFKFB2|5208
770,PGBD5|79605
771,PGLYRP3|114771
772,PGLYRP4|57115
773,PHGDH|26227
774,PHLDA3|23612
775,PIGR|5284
776,PIK3CD|5293
777,PIK3R3|8503
778,PKLR|5313
779,PKP1|5317
780,PLA2G2A|5320
781,PLA2G2D|26279
782,PLA2G2F|64600
783,PLA2G4A|5321
784,PLA2G5|5322
785,PLCH2|9651
786,PLD5|200150
787,PLEKHA6|22874
788,PLEKHG5|57449
789,PLEKHN1|84069
790,PLEKHO1|51177
791,PLXNA2|5362
792,PM20D1|148811
793,PODN|127435
794,POU2F1|5451
795,POU3F1|5453
796,PPAP2B|8613
797,PPFIA4|8497
798,PPIAL4C|653598
799,PPIEL|728448
800,PPM1J|333926
801,PPP1R12B|4660
802,PRDM16|63976
803,PRELP|5549
804,PRG4|10216
805,PRKAA2|5563
806,PRKACB|5567
807,PRKCZ|5590
808,PROK1|84432
809,PROX1|5629
810,PRRX1|5396
811,PSRC1|84722
812,PTAFR|5724
813,PTCH2|8643
814,PTCHD2|57540
815,PTGER3|5733
816,PTGFRN|5738
817,PTGFR|5737
818,PTGS2|5743
819,PTPN14|5784
820,PTPN22|26191
821,PTPN7|5778
822,PTPRC|5788
823,PTPRF|5792
824,PTPRU|10076
825,PTPRVP|148713
826,PVRL4|81607
827,PYHIN1|149628
828,QSOX1|5768
829,RAB25|57111
830,RAB3B|5865
831,RAB42|115273
832,RAD54L|8438
833,RALGPS2|55103
834,RAP1GAP|5909
835,RASSF5|83593
836,RAVER2|55225
837,RBP7|116362
838,RCAN3|11123
839,RCC1|1104
840,RCSD1|92241
841,RD3|343035
842,REG4|83998
843,REN|5972
844,RGL1|23179
845,RGS13|6003
846,RGS16|6004
847,RGS18|64407
848,RGS1|5996
849,RGS2|5997
850,RGS4|5999
851,RGS5|8490
852,RGS7|6000
853,RHBDL2|54933
854,RHBG|57127
855,RHCE|6006
856,RHD|6007
857,RHOU|58480
858,RIMKLA|284716
859,RIMS3|9783
860,RNF186|54546
861,RNF207|388591
862,ROR1|4919
863,RORC|6097
864,RPE65|6121
865,RPL31P11|641311
866,RPS15AP10|728963
867,RPS27|6232
868,RPTN|126638
869,RSPO1|284654
870,RUNX3|864
871,RXFP4|339403
872,RXRG|6258
873,RYR2|6262
874,S100A10|6281
875,S100A11|6282
876,S100A12|6283
877,S100A13|6284
878,S100A14|57402
879,S100A16|140576
880,S100A1|6271
881,S100A2|6273
882,S100A3|6274
883,S100A4|6275
884,S100A5|6276
885,S100A6|6277
886,S100A7A|338324
887,S100A7|6278
888,S100A8|6279
889,S100A9|6280
890,S1PR1|1901
891,SAMD11|148398
892,SAMD13|148418
893,SCARNA2|677766
894,SCCPDH|51097
895,SCNN1D|6339
896,SDC3|9672
897,SEC16B|89866
898,SELENBP1|8991
899,SELE|6401
900,SELL|6402
901,SELP|6403
902,SEMA4A|64218
903,SEMA6C|10500
904,SERINC2|347735
905,SERPINC1|462
906,SERTAD4|56256
907,SFN|2810
908,SGIP1|84251
909,SH2D1B|117157
910,SH2D2A|9047
911,SH2D5|400745
912,SHE|126669
913,SHISA4|149345
914,SIPA1L2|57568
915,SLAMF1|6504
916,SLAMF6|114836
917,SLAMF7|57823
918,SLAMF8|56833
919,SLAMF9|89886
920,SLC16A1|6566
921,SLC16A4|9122
922,SLC19A2|10560
923,SLC1A7|6512
924,SLC22A15|55356
925,SLC25A24|29957
926,SLC25A34|284723
927,SLC26A9|115019
928,SLC27A3|11000
929,SLC2A1|6513
930,SLC2A5|6518
931,SLC30A10|55532
932,SLC30A2|7780
933,SLC35A3|23443
934,SLC35E2|9906
935,SLC35F3|148641
936,SLC44A3|126969
937,SLC44A5|204962
938,SLC45A1|50651
939,SLC45A3|85414
940,SLC5A9|200010
941,SLC6A17|388662
942,SLC6A9|6536
943,SLC9A11|284525
944,SLFNL1|200172
945,SMPDL3B|27293
946,SNHG12|85028
947,SNHG3|8420
948,SNX7|51375
949,SORT1|6272
950,SOX13|9580
951,SPAG17|200162
952,SPATA17|128153
953,SPATA21|374955
954,SPATA6|54558
955,SPOCD1|90853
956,SPRR1A|6698
957,SPRR1B|6699
958,SPRR2A|6700
959,SPRR2B|6701
960,SPRR2C|6702
961,SPRR2D|6703
962,SPRR2E|6704
963,SPRR2F|6705
964,SPRR2G|6706
965,SPRR3|6707
966,SPRR4|163778
967,SPSB1|80176
968,SPTA1|6708
969,ST6GALNAC3|256435
970,ST6GALNAC5|81849
971,STIL|6491
972,STMN1|3925
973,SUSD4|55061
974,SV2A|9900
975,SYDE2|84144
976,SYNC|81493
977,SYPL2|284612
978,SYT11|23208
979,SYT14|255928
980,SYT2|127833
981,SYT6|148281
982,SYTL1|84958
983,TACSTD2|4070
984,TAGLN2|8407
985,TAL1|6886
986,TAS1R1|80835
987,TAS1R3|83756
988,TBX15|6913
989,TCEA3|6920
990,TCHHL1|126637
991,TCHH|7062
992,TCTEX1D1|200132
993,TCTEX1D4|343521
994,TDRD10|126668
995,TDRD5|163589
996,TDRKH|11022
997,TEKT2|27285
998,TESK2|10420
999,TFAP2E|339488
1000,TGFB2|7042
1001,TGFBR3|7049
1002,THEM5|284486
1003,TIE1|7075
1004,TINAGL1|64129
1005,TLR5|7100
1006,TMCC2|9911
1007,TMEM125|128218
1008,TMEM200B|399474
1009,TMEM48|55706
1010,TMEM51|55092
1011,TMEM52|339456
1012,TMEM54|113452
1013,TMEM56|148534
1014,TMEM61|199964
1015,TMEM63A|9725
1016,TMEM79|84283
1017,TMEM82|388595
1018,TMEM88B|643965
1019,TMOD4|29765
1020,TNFAIP8L2|79626
1021,TNFRSF14|8764
1022,TNFRSF18|8784
1023,TNFRSF1B|7133
1024,TNFRSF25|8718
1025,TNFRSF4|7293
1026,TNFRSF8|943
1027,TNFRSF9|3604
1028,TNFSF18|8995
1029,TNFSF4|7292
1030,TNNI1|7135
1031,TNNI3K|51086
1032,TNNT2|7139
1033,TNN|63923
1034,TNR|7143
1035,TP73|7161
1036,TRAF3IP3|80342
1037,TRAF5|7188
1038,TRIM17|51127
1039,TRIM45|80263
1040,TRIM46|80128
1041,TRIM58|25893
1042,TRIM63|84676
1043,TRIM67|440730
1044,TRNP1|388610
1045,TSPAN1|10103
1046,TSPAN2|10100
1047,TSSK3|81629
1048,TSTD1|100131187
1049,TTC22|55001
1050,TTC24|164118
1051,TTC39A|22996
1052,TTF2|8458
1053,TTLL10|254173
1054,TTLL7|79739
1055,TUFT1|7286
1056,TXNIP|10628
1057,UBE2T|29089
1058,UBL4B|164153
1059,UBXN10|127733
1060,UCK2|7371
1061,UHMK1|127933
1062,USH2A|7399
1063,UTS2|10911
1064,VANGL2|57216
1065,VASH2|79805
1066,VAV3|10451
1067,VCAM1|7412
1068,VSIG8|391123
1069,VTCN1|79679
1070,VWA1|64856
1071,VWA5B1|127731
1072,WDR63|126820
1073,WDR65|149465
1074,WDR78|79819
1075,WLS|79971
1076,WNT2B|7482
1077,WNT3A|89780
1078,WNT4|54361
1079,WNT9A|7483
1080,XCL1|6375
1081,XCL2|6846
1082,ZBTB8B|728116
1083,ZC3H12A|80149
1084,ZMYND12|84217
1085,ZNF238|10472
1086,ZNF281|23528
1087,ZNF648|127665
1088,ZNF678|339500
1089,ZNF683|257101
1090,ZNF695|57116
1091,ZNF697|90874
1092,ZSWIM5|57643
1093,ZYG11A|440590
1094,A1CF|29974
1095,ABCC2|1244
1096,ABLIM1|3983
1097,ACADSB|36
1098,ACBD7|414149
1099,ACSL5|51703
1100,ACTA2|59
1101,ADAM12|8038
1102,ADAM8|101
1103,ADAMTS14|140766
1104,ADARB2|105
1105,ADD3|120
1106,ADRA2A|150
1107,ADRB1|153
1108,AFAP1L2|84632
1109,AGAP11|119385
1110,AGAP7|653268
1111,AKR1C1|1645
1112,AKR1C2|1646
1113,AKR1C3|8644
1114,AKR1C4|1109
